Country,Place,Start date,End date,Level,Confirmed,update,url
Bolivia,Bolivia,2020-03-22,2020-04-30,National,False,2020-04-17,https://www.garda.com/crisis24/news-alerts/332606/bolivia-nationwide-covid-19-lockdown-extended-through-april-30-update-8
Australia,Australia,2020-03-23,2020-05-14,National,False,2020-04-17,https://www.dailymail.co.uk/news/article-8224271/Scott-Morrison-issues-bleak-warning-Australias-economic-future.html
Fiji,Suva,2020-03-20,2020-04-17,National,True,2020-04-17,https://www.fijivillage.com/news/Suva-lockdown-to-be-lifted-at-5am-tomorrow-while-schools-remain-closed-until-the-15th-of-June-x8f54r/
Finland,Finland,2020-03-27,2020-05-13,National,False,2020-04-17,https://uk.reuters.com/article/uk-health-coronavirus-finland/finland-to-lift-capital-region-lockdown-pm-idUKKCN21X0R6
Libya,Libya,2020-03-22,2020-04-27,National,False,2020-04-17,https://www.france24.com/en/20200416-libya-announces-10-day-covid-19-lockdown-france-pushes-for-ceasefire-talks
Indonesia,Indonesia,2020-04-15,,National,False,2020-04-17,https://www.bloomberg.com/news/articles/2020-04-15/indonesia-set-to-bring-34-million-people-under-partial-lockdown
Mauritius,Mauritius,2020-03-24,2020-05-04,National,False,2020-04-17,https://www.garda.com/crisis24/news-alerts/331811/mauritius-nationwide-lockdown-extended-to-may-4-update-4
Iraq,Iraq,2020-03-24,2020-04-23,National,False,2020-04-17,https://www.garda.com/crisis24/news-alerts/333441/iraq-nationwide-curfew-extended-until-april-23-update-21
Venezuela,Venezuela,2020-03-17,2020-05-13,National,False,2020-04-17,https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-12-20/h_7a5886304dcbb7a4ce7bef735e32d362
Madagascar,Madagascar,2020-03-23,2020-04-20,National,True,2020-04-20,https://medicalxpress.com/news/2020-04-lockdown-madagascar-cities-ease.html
France,France,2020-03-17,2020-05-11,National,False,2020-04-20,https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137
Germany,Germany,2020-03-17,2020-05-03,National,False,2020-04-20,https://www.bbc.co.uk/news/world-europe-52299358
Italy,Italy,2020-03-09,2020-05-04,National,True,2020-04-20,https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain
Slovakia,Slovakia,2020-03-16,,National,False,2020-04-20,http://www.uvzsr.sk/index.php?option=com_content&view=article&id=4099:opatrenie-uvz-sr-ktorym-sa-s-uinnosou-od-16-032020-uzatvaraju-vetky-maloobchodne-prevadzky-a-vetky-prevadzky-poskytujuce-sluby-okrem-prevadzok-uvedenych-v-opatreni-a-nariadeni-izolacie-skupin-osob&catid=250:koronavirus-2019-ncov&Itemid=153
Azerbaijan,Azerbaijan,2020-03-31,2020-05-04,National,False,2020-04-20,https://www.rferl.org/a/covid-19-iran-tehran-reopen-afghanistan-russia-azerbaijan/30562733.html
Iran,Iran,2020-03-24,,National,False,2020-04-20,https://www.rferl.org/a/covid-19-iran-tehran-reopen-afghanistan-russia-azerbaijan/30562733.html
Belgium,Belgium,2020-03-18,2020-05-03,National,False,2020-04-20,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
Brazil,Brazil,2020-03-17,,National,False,2020-04-20,https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml
Croatia,Croatia,2020-03-18,2020-05-04,National,False,2020-04-20,https://uk.reuters.com/article/us-health-coronavirus-croatia/croatia-extends-lockdown-until-may-4-begins-to-consider-easing-idUKKBN2200MD
Algeria,Algeria,2020-03-23,2020-04-29,National,False,2020-04-20,https://www.garda.com/crisis24/news-alerts/329996/madagascar-nationwide-state-of-emergency-extended-lockdown-measures-in-fianarantsoa-april-5-update-5
Ghana,Ghana,2020-03-30,2020-04-20,National,True,2020-04-20,https://www.aa.com.tr/en/africa/ghana-lifts-partial-coronavirus-lockdown/1811306
Zimbabwe,Zimbabwe,2020-03-30,2020-05-04,National,False,2020-04-20,https://www.aa.com.tr/en/africa/zimbabwe-extends-covid-19-lockdown-for-another-14-days/1811002
Tunisia,Tunisia,2020-03-22,,National,False,2020-04-20,https://www.nytimes.com/reuters/2020/04/17/world/africa/17reuters-health-coronavirus-tunisia.html
South Africa,South Africa,2020-03-26,2020-04-30,National,False,2020-04-20,https://www.bbc.co.uk/news/world-africa-52241727
Switzerland,Switzerland,2020-03-17,2020-04-27,National,True,2020-04-20,https://www.thelocal.ch/20200416/swiss-announce-first-step-in-easing-coronavirus-lockdown-measures
Rwanda,Rwanda,2020-03-21,2020-04-30,National,False,2020-04-20,https://www.ktpress.rw/2020/04/11-more-days-rwanda-extends-covid-19-lockdown-to-april-30/
Paraguay,Paraguay,2020-03-20,2020-04-26,National,False,2020-04-20,https://www.garda.com/crisis24/news-alerts/330931/paraguay-nationwide-quarantine-extended-through-april-19-update-4
Morocco,Morocco,2020-03-19,2020-05-20,National,False,2020-04-20,https://www.middleeastmonitor.com/20200419-moroccos-government-extends-coronavirus-lockdown-to-may-20/
Honduras,Honduras,2020-03-16,2020-04-26,National,False,2020-04-20,http://ukuk.reuters.com/
